screenName,total
RobinEnochs,5
MaguireBenton,5
Samantha1438,5
DabyBaby,5
AppalachiJane,5
Creekredman,5
guitarplayer232,5
Debbierg51,5
BLUIZK81,5
PrincessJosJos,5
jcahealey,5
ShirlIsr,5
theyoooooshow,5
joeythekeys,5
JordanWysong,5
hannahhyuuga,5
Shane106320,5
MarillaWex,5
whiskeyoblivion,5
mtherFNprincess,5
VioletGabrielle,5
KitOConnell,5
suzanneewright,5
unitdstatesofem,5
TheAdvocateMag,5
TheReal_KMix,5
unoleo81,5
valley4hillary,5
marcospauloms,5
AdamPNewman89,5
FredaGHarwell,5
DIXON_____,5
m0chadiva,5
Gojira007X,5
Marilunabeli,5
jmfb12,5
a3auntie,5
mariohnnn,5
suzannereisman,5
padillerrr,5
cmadmax,5
ConNichol,5
osmar106,5
jlogsdon03,5
2charmss,5
dorkydenmark,5
opionated164,5
gunlaker2016,5
KevinMLevy,5
neleh60,5
mlrkaa,5
rogblake1,5
trippingswan,5
Kimbo71006,5
JoywilsonJoy,5
harter_sandra,5
LornaPAC,5
Elisabeth_DMS,5
nanajudyr,5
MeanProgress,5
Koe319,5
haleyanneturner,5
MissThiana,5
cynsha,5
ItsJeffwii,5
JudyWixted,5
SacriliciousM,5
justclay12,5
poetsknow,5
theRealMleh,5
570Karen,5
mhawthorne11,5
annielee415,5
ProgressiveInga,5
c_wjack,5
Watcher_Whitney,5
CDunkin007,5
MyTruthNtUrs,5
elizabeth28536,5
JayGonzalesIII,5
sunflowerbirdie,5
chrismwarwick,5
theonetruecarl,5
RebelsOfToday,5
DStrokis,5
scottsirk,5
OriginalVader1,5
emmasmommy710,5
49f8f38790164c4,5
SusanGr16576445,5
MeganSmiles,5
MYMIMISTHEBEST,4
dino_71pgh,4
bmwrn,4
ElizbethLManess,4
RicaElysee,4
mikylime,4
KatEdmiston,4
dylanhm,4
tejanochica,4
ccc1964,4
Johnknight111,4
politikelle,4
eatinghalalfood,4
d311michelle,4
guayaba,4
lsferguson,4
Vie77,4
New_Narrative,4
Hjeanmary,4
brittanyshulman,4
TKingg_88,4
montsebernalg,4
apignataro,4
GreatArtiste45,4
ThomasB00001,4
RonWasAltRight,4
railgirl1952,4
McKennaMagazine,4
hsjr33,4
PanciottiP,4
ibbecknell,4
Boothasaurus,4
Breezanomics,4
helynabq,4
TannerSloan1941,4
RoshniAaMom,4
aaolomi,4
Snap_Politics,4
KwamWrites,4
iamkissedbyfire,4
mbober99,4
NemElsay,4
